"Befattning","Kod","Position"
"Administrativ chef","255","Head of Administration"
"Assistent","3680","Assistant"
"Administratör","280","Administrator"
"Handläggare","30283","Officer"
"Kvalificerad handläggare","30314","Senior officer"
"Avdelningschef","4340","Head of Department"
"Ekonomiansvarig","18167","Financial Manager"
"Ekonomichef","18220","Financial Director"
"Enhetschef","18701","Head of Division"
"Universitetsdirektör","88630","University Director"
"Gruppchef","29310","Team Manager"
"HR-ansvarig","31029","HR Manager"
"Lokalvårdare","47720","Cleaner"
"Personalchef","60470","Director of Personnel"
"Specialist","75070","Specialist"
"Studievägledare","79450","Study counsellor"
"Utbildningsadm.ansvarig","89204","Educational Administration Manager"
"Amanuens","920","Teaching assistant"
"Doktorand","16848","Doctoral student"
"FOFU-ingenjör","22600","FOFU-engineer"
"Forskningsingenjör","23400","Research Engineer"
"Forskare","23150","Researcher"
"Föreståndare","26040","Director"
"Gästforskare","29940","Visiting researcher"
"Gästlektor","29945","Visiting associate professor"
"Gästlärare","29950","Visiting teacher"
"Postdoktor","62390","Postdoc"
"Professor","63820","Professor"
"Professor adjungerad","63825","Adjunct professor"
"Professor gäst","63865","Visiting professor"
"Professor kallad","63866","Called to professor"
"Prorektor","64312","Deputy President"
"Rektor","66710","President"
"Vicerektor","92020","Vice President"
"Senior forskare","70933","Senior researcher"
"Senior lärare","70928","Senior teacher"
"Befattning","Kod","Position"
"Universitetsadjunkt","88620","Lecturer"
"Universitetslektor","88700","Associate professor"
"Universitetslektor biträdande","88713","Assistant professor"
"Ingenjör","33290","Engineer"
"Systemadministratör","80411","Systems administrator"
"Systemansvarig","80412","Systems manager"
"IT-chef","34906","IT director"
"IT-tekniker","34915","IT Technician"
"Systemspecialist","80562","Systems specialist"
"Tekniker","82270","Technician"
"Vaktmästare","90640","Janitor"
"Bibliotekarie","7420","Librarian"
"Biblioteksassistent","7480","Assistant librarian"
"Bokbindare","8640","Bookbinder"
"Informatiker","33220","Information specialist"
"Överbibliotekarie","95470","University Librarian"
