emp_code_hr,emp_desc,title_sv,title_en,title_comment
03540,ARVODIST,Arvodist,Temporary employee,"Troligen irrelevant för oss, arvodister är timanställda som till exempel tentavakter, gästlärare."
99999,STIPENDIAT,Stipendiat,Scholarship,
16848,DOKTORAND,Doktorand,Doctoral student,
23150,FORSKARE,Forskare,Researcher,
00920,AMANUENS,Amanuens,Undergraduate assistant,
23400,FORSKNINGSINGENJÖR,Forskningsingenjör,Research engineer,
62390,POSTDOKTOR,Postdoktor,Postdoc,
30283,HANDLÄGGARE,Handläggare,Administrator,Irrelevant för oss att skilja på handläggare och andra med administrativa uppgifter
00280,ADMINISTRATÖR,Administratör,Administrator,Irrelevant för oss att skilja på handläggare och andra med administrativa uppgifter
63820,PROFESSOR,Professor,Professor,
22600,FOFU-INGENJÖR,Fofu-ingenjör,Doctoral student,Fofu-ingenjörer är doktorander.
88700,UNIVERSITETSLEKTOR,Universitetslektor,Associate professor,
INDOK,INDUSTRIDOKTORAND,Industridoktorand,"Doctoral student, industry ","Industridoktorander är doktorander, relevant att särskilja?"
88620,UNIVERSITETSADJUNKT,Universitetsadjunkt,Lecturer,
82270,TEKNIKER,Tekniker,Technician,
30314,"HANDLÄGGARE, KVALIFICERAD","Handläggare, kvalificerad",Administrator,Irrelevant för oss att skilja på handläggare och andra med administrativa uppgifter
63825,"PROFESSOR, ADJUNGERAD","Professor, adjungerad","Professor, adjunct",
29310,GRUPPCHEF,Gruppchef,Group leader,
AFFAK,AFFILIERAD FAKULTET,Affilierad Fakultet,Affiliated faculty,
03680,ASSISTENT,Assistent,Assistant,
39920,KONSULT,Konsult,Consultant,
47720,LOKALVÅRDARE,Lokalvårdare,Janitor,Irrelevant för oss att skilja på lokalvårdare och vaktmästare
80411,SYSTEMADMINISTRATÖR,Systemadministratör,System administrator,
88713,"UNIVERSITETSLEKTOR, BITR","Universitetslektor, biträdande",Assistant professor,
80562,SYSTEMSPECIALIST,Systemspecialist,System specialist,
79450,STUDIEVÄGLEDARE,Studievägledare,Study councellor,
07420,BIBLIOTEKARIE,Bibliotekarie,Librarian,
33290,INGENJÖR,Ingenjör,Engineer,
34915,IT-TEKNIKER,IT-tekniker,IT technichian,
63865,"PROFESSOR, GÄST","Professor, gäst","Professor, visiting",
AFFIL,AFFILIERAD PROFESSOR,Affilierad professor,"Professor, affiliated",
70933,SENIOR FORSKARE,Senior forskare,Senior researcher,
80412,SYSTEMANSVARIG,Systemansvarig,Systems manager,
90640,VAKTMÄSTARE,Vaktmästare,Janitor,Irrelevant för oss att skilja på lokalvårdare och vaktmästare
75070,SPECIALIST,Specialist,Specialist,
26040,FÖRESTÅNDARE,Föreståndare,Director,
29950,GÄSTLÄRARE,Gästlärare,Guest Lecturer,Finns inga aktiva
70928,SENIOR LÄRARE,Senior lärare,Senior lecturer,Finns inga aktiva
63866,"PROFESSOR, KALLAD","Professor, kallad",Professor,Dessa står som Professor på webben
00255,ADMINISTRATIV CHEF,Administrativ chef,Head of Administration,
04340,AVDELNINGSCHEF,Avdelningschef,Unit manager,
18167,EKONOMIANSVARIG,Ekonomiansvarig,Finance manager,
18701,ENHETSCHEF,Enhetschef,Head of Division,
31029,HR-ANSVARIG,HR-ansvarig,Human resources manager,
92020,VICEREKTOR,Vicerektor,Vice President,
79185,STUDENTMEDARBETARE,Studentmedarbetare,Student staff,Finns inga aktiva
00296,SENIOR ADMINISTRATÖR,Senior administratör,Administrator,Finns inga aktiva
07480,BIBLIOTEKSASSISTENT,Biblioteksassistent,Library assistant,Finns inga aktiva
89204,UTBILDNINGSADM ANSVARIG,Utbildningssamordnare/enhetsledare,Education administration manager,
00296,"ADMINISTRATÖR, SENIOR","Administratör, senior",Administrator,Finns inga aktiva
33220,INFORMATIKER,Informatiker,Computer Scientist,
95470,ÖVERBIBLIOTEKARIE,Överbibliotekarie,University Librarian,
28465,FÖRVALTNINGSCHEF,Förvaltningschef,Head of Administration,Finns inga aktiva
88630,UNIVERSITETSDIREKTÖR,Universitetsdirektör,University Director,
29940,GÄSTFORSKARE,Gästforskare,Guest researcher,Finns inga aktiva
15930,DIRECTOR MUSICES,Director Musices,Director Musices,Finns inga aktiva
18220,EKONOMICHEF,Ekonomichef,Chief Financial Officer,
34906,IT-CHEF,IT-chef,IT Manager,
60470,PERSONALCHEF,Personalchef,Human resources manager,
64312,PROREKTOR,Prorektor,Deputy President,
66710,REKTOR,Rektor,President,
