"PID","Title"
507727,"A comparative study of covalent grafting and physical adsorption of PCL onto cellulose"
538993,"A comparative study of covalent grafting and physical adsorption of PCL onto cellulose"
458571,"A field test study of leaf contamination on railhead surfaces"
1360509,"A field test study of leaf contamination on railhead surfaces"
1692965,"A Method for Quality Assessment of Threat Modeling Languages : The Case of enterpriseLang"
1586661,"A Method for Quality Assessment of Threat Modeling Languages : The Case of enterpriseLang"
457401,"A packaged optical slot-waveguide ring resonator sensor array for multiplex assays in Labs-on-Chip"
454810,"A packaged optical slot-waveguide ring resonator sensor array for multiplex assays in Labs-on-Chip"
1358746,"A study on acoustical time-domain two-ports based on digital filters with application to automotive air intake systems"
331688,"A study on acoustical time-domain two-ports based on digital filters with application to automotive air intake systems"
486971,"Acceptability and Political Coordination of Road User Charges"
486707,"Acceptability and Political Coordination of Road User Charges"
680635,"Achieving political acceptability for new transport infrastructure in congested urban regions"
588588,"Achieving political acceptability for new transport infrastructure in congested urban regions"
401085,"Adaptive sensor drift counteraction by a modular neural network"
627176,"Adaptive sensor drift counteraction by a modular neural network"
501350,"Advanced Fluid Research On Drag reduction In Turbulence Experiments"
501374,"Advanced Fluid Research On Drag reduction In Turbulence Experiments"
561501,"An efficient solver for finite-element poroelastic problems"
498128,"An efficient solver for finite-element poroelastic problems"
1675800,"An investigation on mutual information for the linear predictive system and the extrapolation of speech signals"
1505864,"An investigation on mutual information for the linear predictive system and the extrapolation of speech signals"
681684,"Applied Reactor Technology"
500610,"Applied Reactor Technology"
681978,"Arctic Visions : Technology, Architecture, and Indigenous Voices in the Discourse of Arctic Futures"
588390,"Arctic Visions : Technology, Architecture, and Indigenous Voices in the Discourse of Arctic Futures"
491989,"Årsta Church, Stockholm"
491993,"Årsta Church, Stockholm"
492001,"Årsta Church, Stockholm"
1713512,"Blonde birth machines : Medical simulation, techno-corporeality and posthuman feminism"
799441,"Blonde birth machines : Medical simulation, techno-corporeality and posthuman feminism"
588552,"Capturing dependency among link boundaries in a stochastic network loading model"
588610,"Capturing dependency among link boundaries in a stochastic network loading model"
544825,"Comparison of the grafting-from and grafting-to approaches when modifying cellulose via ARGET ATRP"
544830,"Comparison of the grafting-from and grafting-to approaches when modifying cellulose via ARGET ATRP"
1644415,"Compound Semiconductors"
1542062,"Compound Semiconductors"
1272523,"Demo Hour"
916481,"Demo Hour"
818836,"Designing more effective political governance of turbulent fields : The case of healthcare"
479772,"Designing more effective political governance of turbulent fields : The case of healthcare"
1325036,"Diffusion Studied Using NMR Spectroscopy"
737883,"Diffusion Studied Using NMR Spectroscopy"
902989,"Drinking water regulations today and a view for the future"
1499051,"Drinking water regulations today and a view for the future"
1689961,"Effect of delay tolerance in WDM networks with differentiated services"
1670765,"Effect of delay tolerance in WDM networks with differentiated services"
746184,"Efficient coupler between silicon waveguide and hybrid plasmonic waveguide"
1152529,"Efficient coupler between silicon waveguide and hybrid plasmonic waveguide"
418429,"Efficient coupler between silicon waveguide and hybrid plasmonic waveguide"
490913,"Entrepreneurship and Arts Related Education"
819816,"Entrepreneurship and Arts Related Education"
1637158,"Experimental evaluation of cyclic sleep with adaptable sleep period length for PON"
467847,"Experimental evaluation of cyclic sleep with adaptable sleep period length for PON"
570302,"Expression of the global regulator SATB1 is an independent factor of poor prognosis in high grade epithelial ovarian cancer"
570309,"Expression of the global regulator SATB1 is an independent factor of poor prognosis in high grade epithelial ovarian cancer"
492989,"Extension of the Landskrona Theatre, Landskrona"
492980,"Extension of the Landskrona Theatre, Landskrona"
492985,"Extension of the Landskrona Theatre, Landskrona"
486967,"Extreme values, invariance and choice probabilities"
486969,"Extreme values, invariance and choice probabilities"
486673,"Extreme values, invariance and choice probabilities"
507698,"Fastighetsbildning och fastighetsbestämning : Om fastighetsbildningslagen m.m."
974367,"Fastighetsbildning och fastighetsbestämning : Om fastighetsbildningslagen m.m."
455685,"Fastighetssamverkan för utförande, drift och förvaltning av gemensamma anläggningar : Särskilt om anläggningslagen och lagen om förvaltning av samfälligheter"
